category,name,year_founded,stage,raised_m,employees,reg_number,website,description
Components & Manufacturing,Optima Design Automation,2014,Initial Revenues,,5,515041325,http://www.optima-da.com,"Optima Design Automation represents the next generation in automotive safety verification. The company has pioneered a new fault analysis technology for accelerated semiconductor development that enables a 1,000X performance improvement over traditional fault simulation."
Fleet & Logistics,Autocar,2017,Initial Revenues,,5,514447655,http://mycar.autocar.co.il,"Autocar IoT is a business solution for analyzing data coming from sensors in vehicles in order to analyse, get insights, predict and react.
 
 Autocar is an award winning leading provider of Connected IoV based on-demand cloud platform for Smart transportation. AutoCar's solution empowers global pre"
Smart Cities & Mobility,Roads.AI,2017,R&D,,5,515593200,http://121gw.tech,Roads A.I is developing an autonomous traffic controller for preventing collisions and organizing traffic flow. Roads A.I's solution includes advanced passive receiver that maps traffic by detecting electromagnetic emissions; intelligent algorithm that analyzes & monitors the driving environment bas
Mapping & Navigation,SPS,2018,Initial Revenues,,5,515890556,https://sps-app.com,"SPS aims to serve as the navigation platform for commercial companies, health organizations and governments. The company's platform allows secure access to information and presentation to citizens through maps and various navigation tools of the means and/or ways of getting to the polling stations."
Cybersecurity,OttoSec,2020,Initial Revenues,,5,516163151,https://ottosec.com,OttoSec is offering a small and low cost stateful firewall device identifies and prevents damages that are the results of automotive cyber-attacks. The company's Automotive Cyber Security Service based on in-vehicle hardware device for Aftermarket and OEMs.
General Automotive Tech,The Krosor,2021,Seed,,5,,http://negevsol.com/?page_id=1471,"The Krosor is developing ABIR K16-900, an autonomous large fire fighting machine."
Fleet & Logistics,Echo ID,2022,R&D,,5,516788205,https://www.echo-id.com,"Echo ID develops a biotemtrics technology that will enhance safety and prevent unauthorized usage of devices, like e-cigarettes and vapes. It will also seamlessly authenticate drivers with echo-id biometrics and breathalyzer interlock devices, enchasing fleet management compliance."
Mapping & Navigation,Jupiter EV,2022,R&D,,5,,https://www.jupiter-ev.com,Jupiter-EV developed a proprietary and unique solution. The company's multiple EV charging station (MEV-CS) creates 8 to 16 fast DC charging stations in an area less than 50 sqm (equivalent to 3 parking spaces). Jupiter-EV's platform is based on a unique robotic parking tower with a proprietary inte
General Automotive Tech,Simplex Growth,2024,R&D,,5,517004602,https://simplex.so,"Simples AI offers a real-time, autonomous revenue growth and retention for agents and advisors to make more of their book-of-business."
General Automotive Tech,Elbit Systems - Rokar,1981,Initial Revenues,,50,510888647,https://www.elbitsystems.com/land,"Elbit Systems - Rokar produces a diverse and comprehensive range of systems and sensors for land forces, from complete modernization and training to maintenance depots and life-cycle support services. Building on advanced in-house capabilities and core technologies, Elbit Systems is a one-stop sourc"
Components & Manufacturing,Moving Life,2011,Initial Revenues,,50,514740422,https://movinglife.com,"Movinglife is an Israeli startup that develops, manufactures and markets a series of advanced folding scooters in Israel and around the world, to provide the finest solution for people with mobility issues, due to illness or old age.
 Nino Rensenberg, the founder of Movinglife who himself suffers fr"
Components & Manufacturing,Tabor Electronics,1971,Revenue Growth,,50,510573157,https://www.taborelec.com,"Tabor Electronics has become a world-leading provider of high-end signal sources, featuring: RF, pulse, function and arbitrary waveform generators/transceivers, high-voltage amplifiers, waveform and modulation creation software. Tabor has earned global recognition for its highly skilled workforce an"
Components & Manufacturing,Asine,1999,Initial Revenues,,52,512759333,http://www.asinegroup.com,"Asine is an innovative designer & manufacturer, providing embedded Flash Solid State Storage Units and board level."
2W/3W,ScootAir,2013,Initial Revenues,,6,515480929,https://www.scootair.co.il,"ScootAir, the only electric scooter manufacturer in Israel, began its journey by two entrepreneurs, Oded and Itzik, who connected through the world of motorcycle design and construction, and acquired knowledge in Israel and abroad. After years of riding electric scooters of all sizes and types, they"
Mapping & Navigation,Dride,2016,Initial Revenues,,6,515865905,https://dride.io,"Dride is a revolutionary new product built to enhance every aspect of your driving, protect you from dangerous mobile distractions, and build a community around driving smartly and safely. Dride is a dashcam, but does so much more. It comes with a real time safety alert system, navigation and voice-"
General Automotive Tech,Auto3P,2000,Initial Revenues,,60,513110742,https://auto3p.com,"Auto3P provides the automotive world with comprehensive information services, innovative data systems and software solutions. Auto3P's highly-reliable, modular and accurate solutions, make for sustained, long-term business efficiency, dramatically reduce operational costs and optimize business perfo"
Smart Cities & Mobility,AccuBeat,1993,Revenue Growth,,62,511884538,https://www.accubeat.com,"AccuBeat is a provider of highly Accurate Frequency and Timing solutions deployed in Defense, Critical Infrastructures, HLS, Aerospace, Telecommunications and Research. Based on Rubidium Atomic Clock technology with optional GNSS disciplining, NTP and PTP capabilities, AccuBeat’s products achieve th"
Fleet & Logistics,Jungo Connectivity,2013,Initial Revenues,,64,514663335,https://jungo.com,"Jungo is a leader in fleet safety technology, dedicated to reducing risks and enhancing road safety through AI innovation. Its flagship product, VuDrive, offers advanced driver monitoring with real-time alerts, in-cab dual camera, location and telematics information, and comprehensive risk analysis "
Fleet & Logistics,Cloud-Wise,2016,Initial Revenues,,7,515467249,https://www.cloud-wise.com,"Cloud-Wise Ltd, mission is to create a world with safer roads using sensors, mobile and IoT, machine learning, and behavioral science. Cloud-Wise has developed the I-Sticker, a complete behavioral analytics solution, to increase awareness and improve safety for the connected car world. I-Sticker pro"
Components & Manufacturing,Assembrix,2014,Initial Revenues,,7,515014512,https://assembrix.com,"Assembrix developed a cloud-based platform that virtualizes 3D industrial printing. Its Virtual Manufacturing Space platform (VMS) enables a simpler, more efficient and secured production process by overseeing the entire additive manufacturing thread, from initial part model to the verified physical"
General Automotive Tech,Step Hear,2008,Initial Revenues,,7,514158179,https://www.step-hear.com,"Step Hear's system allows people in a wheelchair to inform bus drivers in advance via the app of their location at the station, so that they can prepare for the opening of the ramp or people with a cognitive disability or post-traumatic stress disorder (PTSD) using the light rail can pre-define thei"
General Automotive Tech,VHOLA,2019,R&D,,7,516258894,https://www.v-hola.com,"VHOLA's technology is an in-vehicle solution enabling predictive maintenance of the vehicle's performance by detecting its magnetic and electromagnetic emissions throughout the vehicle's lifetime. It also takes active actions, taking into consideration local regulation aspects, cabin occupancy, pass"
General Automotive Tech,Cibeez,2016,R&D,,7,515948420,http://www.cibeez.com,CiBeez is in the field of mobility management for the autonomous vehicle and transport and delivery markets.
General Automotive Tech,Albus,2011,R&D,,7,514693894,https://www.albus-tech.com,"Albus Technologies develops and products of custom-tailored compact electric motors and generators in a wide power range, performing a high power density and efficiency."
Fleet & Logistics,GIV Solutions,2001,Initial Revenues,,70,513107243,https://www.giv-solutions.com,"GIV Solutions specializes in deploying end-to-end operational solutions in infrastructure-intensive industries with over 60 EAM consultants, operating in all sectors of the economy in Israel. The company offers a suite of products designed to optimize operations and maintenance for asset-intensive o"
Mapping & Navigation,Cello Ltd.,2008,Initial Revenues,,70,513513366,https://cello-app.com/global,"Cellopark offers a payment app for mobile parking in blue and white and parking lots all over the country. The app automatically adjusts the parking for the resident with a resident character, displays the parking history for control purposes and creates a personal profile with a photo for each vehi"
Components & Manufacturing,Plataine,1997,Initial Revenues,,75,512489667,https://www.plataine.com,"Plataine’s solution is a TaaS (Tracking as a Service) solution, providing an innovative solution for production optimization and automation solutions to bridge the gap between CAD, ERP and the production gloor, enabling manufacturers to be more competitive by increasing material utilization, improvi"
Mapping & Navigation,Tervizio,2020,R&D,,8,516426350,https://tervizio.com,"Tervizio is a developer of 3D imaging for the automotive industry, intending to improve safety. The company utilizes thermal energy to optimize 3D laser imaging detection and ranging technology at the pixel level to provide any range of resolution, thus enabling clients with obstacle detection and a"
Smart Cities & Mobility,Tupaia,2020,R&D,,8,516187481,https://www.tupaia-pos.com,"Tupaia specializes in high precision positioning solutions within the cloud computing industry. The company offers a cloud-based positioning service that integrates with GNSS receivers and provides accurate location data for various applications. Tupaia's services cater to sectors, such as telecommu"
General Automotive Tech,EllR,2015,R&D,,8,,https://www.ellr.bike,"EllR leverages an advanced IoT solution, global connectivity and social trends to speed up recovery of riders & bikes in emergency situations. EllR connects the community of riders in a smart and seamless way to support each other, efficiently and effectively in emergency situations such as accident"
Smart Cities & Mobility,Exelerate Smart Traffic,2006,Initial Revenues,,8,513890830,https://www.exelerate.com,"Exelerate Smart Traffic develops and deploys ""Falcon"", one of the world's most advanced urban traffic control systems. The system can control urban traffic in any city as it can connect to all of the traffic controllers and sensors found on the street. Falcon can provide a wide range of traffic-ligh"
EV & Clean Energy,Electricare,2021,R&D,,8,516316304,https://electricare-ev.com,"Electricare aspires to create a hassle-free experience through a mobile energy supply platform for electric vehicles, transforming vehicle charging from a nuisance to a service at the touch of a button, freeing up consumers to spend time doing what they enjoy, thus boosting the adoption of electric "
Mapping & Navigation,Pango Pay & Go,2007,Revenue Growth,,84,514020015,https://en.pango.co.il,Pango provides a comprehensive turnkey mobile payment parking solution to local government and parking lot owners with outstanding successful performance. The Pango App has become synonymous with driver and vehicle solutions. It is one of the most widespread applications in Israel in terms of the nu
